"lift-force-rfile"
"Iteration" "lift-force"
("Iteration" "lift-force")
1 0.02803026
2 0.05381758
3 0.07440574
4 0.08747957
5 0.09616134
6 0.1005539
7 0.101835
8 0.1016046
9 0.100907
10 0.100203
11 0.0996661
12 0.09938044
13 0.09930068
14 0.09938154
15 0.09952318
16 0.09964073
17 0.09969962
18 0.09969383
19 0.09964028
20 0.09955263
21 0.09943727
22 0.09931157
23 0.09918465
24 0.09906174
25 0.09894627
26 0.0988422
27 0.09875098
28 0.09867178
29 0.09860359
30 0.09854568
31 0.09849617
32 0.09845357
33 0.09841627
34 0.09838235
35 0.09835035
36 0.09832111
37 0.09829096
38 0.09825972
39 0.09822768
40 0.09819535
41 0.09816293
42 0.09813087
43 0.09809893
44 0.09806744
45 0.09803638
46 0.09800589
47 0.09797578
48 0.09794629
49 0.09791776
