"drag-force-rfile"
"Iteration" "drag-force"
("Iteration" "drag-force")
1 0.01444551
2 0.01668968
3 0.01772376
4 0.01806217
5 0.01783853
6 0.01751055
7 0.01706116
8 0.01660834
9 0.01623489
10 0.01594571
11 0.01570195
12 0.01552465
13 0.01539428
14 0.01531678
15 0.01527911
16 0.01527034
17 0.01527659
18 0.01530195
19 0.01531504
20 0.01532772
21 0.01533483
22 0.01534805
23 0.01535643
24 0.0153729
25 0.01538444
26 0.01539726
27 0.0153999
28 0.01540345
29 0.01540223
30 0.01540581
31 0.01540575
32 0.0154101
33 0.01541084
34 0.01541558
35 0.01541565
36 0.0154186
37 0.01541738
38 0.01541897
39 0.01541678
40 0.01541754
41 0.01541487
42 0.01541453
43 0.01541138
44 0.01541196
45 0.01540961
46 0.0154104
47 0.01540827
48 0.0154092
