CD,T1-11.7 m/s-VLM1-Inviscid, , CD,T1-11.7 m/s-VLM1-Inviscid, , 
    0.0169131,  3.284287e-17, ,   0.003110521,  9.323799e-18, , 
  0.009581719,  2.279045e-17, ,  0.0009157138,  4.547637e-18, , 
  0.004280256,  1.927238e-17, ,  0.0008718084, -3.039376e-18, , 
  0.001073331,  8.457325e-18, ,   0.002999028,  -7.56416e-18, , 
            0,             0, ,   0.007291152, -4.616194e-18, , 
  0.001073331, -8.457325e-18, ,    0.01371556, -1.702507e-17, , 
  0.004280256, -1.927238e-17, ,    0.02221359, -2.049865e-17, , 
  0.009581719, -2.279045e-17, ,    0.03270112, -2.646313e-17, , 
    0.0169131, -3.284287e-17, ,    0.04506954, -4.070021e-17, , 
   0.02618496, -4.563221e-17, ,     0.0591869, -3.254189e-17, , 
   0.03728397, -5.804522e-17, ,    0.07489934,  -5.32005e-17, , 
   0.05007425, -8.120628e-17, ,     0.0920328, -4.701891e-17, , 
    0.0643988, -7.209467e-17, ,     0.1103949, -5.645697e-17, , 
   0.08008128, -7.260784e-17, ,     0.1297772,  -5.48116e-17, , 
   0.09692798, -8.358967e-17, ,     0.1499571, -5.739392e-17, , 
    0.1147299, -1.025085e-16, ,     0.1707008, -6.924292e-17, , 
    0.1332652, -1.240503e-16, ,     0.1917656, -9.138694e-17, , 

